,User ID,Perfume Name,Sentiment
734,14494.0,Encre Noire,1.0
735,17273.0,Encre Noire,1.0
736,17195.0,Encre Noire,1.0
738,9881.0,Encre Noire,1.0
739,3925.0,Encre Noire,1.0
740,12442.0,Encre Noire,1.0
741,14173.0,Encre Noire,1.0
742,17657.0,Encre Noire,1.0
743,17658.0,Encre Noire,1.0
744,17115.0,Encre Noire,1.0
746,8515.0,Encre Noire,1.0
747,11285.0,Encre Noire,-1.0
748,11298.0,Encre Noire,1.0
750,13197.0,Encre Noire,1.0
751,11129.0,Encre Noire,1.0
752,17148.0,Encre Noire,1.0
753,11954.0,Encre Noire,1.0
754,16802.0,Encre Noire,1.0
755,17132.0,Encre Noire,1.0
756,14396.0,Encre Noire,1.0
757,17119.0,Encre Noire,1.0
758,7257.0,Encre Noire,1.0
760,17048.0,Encre Noire,1.0
761,7465.0,Encre Noire,-1.0
762,13439.0,Encre Noire,-1.0
765,16246.0,Encre Noire,1.0
766,16230.0,Encre Noire,1.0
770,14976.0,Encre Noire,-1.0
771,14904.0,Encre Noire,1.0
772,13328.0,Encre Noire,-1.0
773,7266.0,Encre Noire,1.0
774,14186.0,Encre Noire,-1.0
776,13694.0,Encre Noire,1.0
777,10896.0,Encre Noire,-1.0
779,12342.0,Encre Noire,1.0
780,6066.0,Encre Noire,1.0
783,12873.0,Encre Noire,1.0
784,12644.0,Encre Noire,1.0
785,8533.0,Encre Noire,1.0
786,11788.0,Encre Noire,1.0
787,12672.0,Encre Noire,-1.0
789,10686.0,Encre Noire,-1.0
790,11929.0,Encre Noire,-1.0
791,12148.0,Encre Noire,1.0
792,12437.0,Encre Noire,1.0
793,2015.0,Encre Noire,-1.0
794,8874.0,Encre Noire,-1.0
795,7602.0,Encre Noire,-1.0
796,7328.0,Encre Noire,1.0
797,7158.0,Encre Noire,-1.0
798,9233.0,Encre Noire,1.0
799,11715.0,Encre Noire,1.0
800,11779.0,Encre Noire,1.0
801,11614.0,Encre Noire,1.0
802,2261.0,Encre Noire,1.0
803,6166.0,Encre Noire,1.0
805,10237.0,Encre Noire,1.0
806,11107.0,Encre Noire,-1.0
807,10413.0,Encre Noire,-1.0
808,6606.0,Encre Noire,-1.0
809,10833.0,Encre Noire,1.0
811,8441.0,Encre Noire,-1.0
812,6221.0,Encre Noire,-1.0
814,6779.0,Encre Noire,-1.0
815,6031.0,Encre Noire,1.0
816,1871.0,Encre Noire,1.0
817,10214.0,Encre Noire,1.0
818,10382.0,Encre Noire,1.0
819,10327.0,Encre Noire,1.0
820,6288.0,Encre Noire,-1.0
821,7748.0,Encre Noire,1.0
822,9616.0,Encre Noire,-1.0
823,9821.0,Encre Noire,1.0
824,7852.0,Encre Noire,-1.0
825,9878.0,Encre Noire,1.0
826,9510.0,Encre Noire,-1.0
827,2274.0,Encre Noire,-1.0
828,9833.0,Encre Noire,1.0
829,6283.0,Encre Noire,1.0
830,4510.0,Encre Noire,1.0
831,9422.0,Encre Noire,1.0
833,6165.0,Encre Noire,1.0
834,21314.0,Encre Noire,1.0
835,9425.0,Encre Noire,-1.0
836,8170.0,Encre Noire,-1.0
837,9305.0,Encre Noire,1.0
841,8771.0,Encre Noire,1.0
842,8509.0,Encre Noire,1.0
843,8445.0,Encre Noire,1.0
844,3878.0,Encre Noire,1.0
845,5830.0,Encre Noire,1.0
846,7899.0,Encre Noire,1.0
847,7676.0,Encre Noire,1.0
848,5541.0,Encre Noire,1.0
849,8850.0,Encre Noire,1.0
851,7599.0,Encre Noire,1.0
853,7515.0,Encre Noire,-1.0
854,7463.0,Encre Noire,1.0
855,4378.0,Encre Noire,1.0
857,6975.0,Encre Noire,1.0
859,6544.0,Encre Noire,1.0
860,6162.0,Encre Noire,-1.0
861,6072.0,Encre Noire,-1.0
864,5543.0,Encre Noire,1.0
865,5608.0,Encre Noire,-1.0
866,5560.0,Encre Noire,1.0
867,4990.0,Encre Noire,1.0
868,634.0,Encre Noire,1.0
869,5322.0,Encre Noire,1.0
871,1632.0,Encre Noire,1.0
872,4899.0,Encre Noire,1.0
873,5076.0,Encre Noire,1.0
874,4755.0,Encre Noire,1.0
875,4564.0,Encre Noire,1.0
876,3207.0,Encre Noire,-1.0
